"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"Tfru02441_t",0.00248306620614396,0.00902945658028333,9.15302952870071,13.0524548854447,1,1.19972880408791,2.61049097708893,0.110348825702243,2.50014215138669,1.38645323761873,2.50014215138669
"Tfru16617_t",0.00248539477796592,0.00903292537943256,9.1513143454568,6.64173954252717,1,1.84626971990146,1.32834790850543,0.221057973707624,1.10728993479781,0.64570226405534,1.10728993479781
"Tfru22674_t",0.00248524018849822,0.00903292537943256,9.15142816266842,0.687946330465591,1,6.16479319217598,0.137589266093118,0.00217937514920414,0.135409890943914,0.0486630384372983,0.135409890943914
"Tfru26929_t",0.0024846846289495,0.00903292537943256,9.15183725527773,0.74307907148422,1,5.78716582031341,0.148615814296843,0.00338009171087101,0.145235722585973,0.0479797283498286,0.145235722585973
"Tfru05521_t",0.00248624519443386,0.00903435051020731,9.15068835084103,0.188533648742684,1,5.35312532393745,0.0377067297485366,0.00527068599247551,0.0324360437560613,0.0502195583699573,0.0502195583699573
"Tfru13895_t",0.00248935086079926,0.00904396858071062,9.14840410312043,1.72074689531067,1,3.49366311671469,0.344149379062134,0.0372444943436504,0.306904884718483,0.133511848324713,0.306904884718483
"Tfru02436_t",0.00249000284797694,0.00904467037814065,9.14792492756497,14.1927452199515,1,1.72372917514267,2.83854904399029,0.19438818625018,2.64416085774011,0.745041771711142,2.64416085774011
"Tfru20622_t",0.00249130824582348,0.00904607836616655,9.14696591285418,2.6740637893576,1,2.96986530841689,0.53481275787152,0.0591528718950708,0.475659885976449,0.197248192787947,0.475659885976449
"Tfru21053_t",0.00249089825153302,0.00904607836616655,9.14726706152817,0.691331181780948,1,4.05674215203804,0.138266236356189,0.0187676889271692,0.11949854742902,0.0907013315860733,0.11949854742902
"Tfru00550_t",0.00249264626285613,0.00904926994100975,9.14598346347616,0.513393095748015,1,4.96090320636816,0.102678619149603,0.00677400988024517,0.0959046092693577,0.0555979144582052,0.0959046092693577
"Tfru16780_t",0.00249464016892527,0.00905484103296333,9.14452041511886,0.157822800509248,1,6.63674775894184,0.0315645601018499,0.00135364767344338,0.0302109124284063,0.0537363355506288,0.0537363355506288
"Tfru14286_t",0.00249878971315242,0.00906823299252091,9.14147944714198,0.935912490638918,1,4.21769013930975,0.187182498127783,0.0165297556926375,0.170652742435146,0.08182875638627,0.170652742435146
"Tfru09884_t",0.00250167924627833,0.0090742718987466,9.13936489611522,0.247979024015657,1,5.05478485040016,0.0495958048031314,0.00697193333312523,0.0426238714700062,0.0540162795430475,0.0540162795430475
"Tfru12515_t",0.00250183471666858,0.0090742718987466,9.13925119366939,0.290072931011457,1,7.55406055723621,0.0580145862022917,0.000556020458344544,0.0574585657439469,0.0705759973131106,0.0705759973131106
"Tfru24812_t",0.00250104492623097,0.0090742718987466,9.13982887705273,1.42069358671995,1,7.14232153477701,0.284138717343989,0.000791029232081001,0.283347688111909,0.061937861430164,0.283347688111909
"Tfru08416_t",0.00250384080694573,0.00907820743559338,9.13778469309553,4.08488464460313,1,5.5482497390244,0.816976928920625,0.00540882836417868,0.811568100556447,0.0488238944514023,0.811568100556447
"Tfru18838_t",0.0025035593487544,0.00907820743559338,9.13799037391635,1.17164103399517,1,3.70899650983986,0.234328206799033,0.0297021399244954,0.204626066874538,0.115040856088574,0.204626066874538
"Tfru06306_t",0.00250669886397451,0.00908689862183329,9.1356974426011,0.728468116081292,1,4.38297075845752,0.145693623216258,0.0128871651005737,0.132806458115685,0.0740122292617272,0.132806458115685
"Tfru07646_t",0.00250881059986343,0.00909288166117077,9.13415678445784,0.352395720013863,1,5.3139545358355,0.0704791440027727,0.00522884230084336,0.0652503017019293,0.0506097731768447,0.0652503017019293
"Tfru16185_t",0.00251263117540779,0.00910505484573783,9.13137275075149,0.195951075382491,1,7.12362989009249,0.0391902150764978,0.00076730558844063,0.0384229094880575,0.0615903415345597,0.0615903415345597
"Tfru20292_t",0.00251375066426683,0.00910743739104798,9.13055779886662,0.465345763691092,1,5.49638167792844,0.0930691527382179,0.00429895495309512,0.0887701977851232,0.0491170733491634,0.0887701977851232
"Tfru18342_t",0.00251484857216745,0.00910974088628024,9.12975891492296,3.20798377374556,1,2.33741109810709,0.641596754749113,0.144174133590475,0.497422621158638,0.370341353543804,0.497422621158638
"Tfru10659_t",0.00251766937574647,0.00911668752763771,9.12770800161345,0.468889293125177,1,4.1500471498488,0.0937778586250351,0.0175318927513868,0.0762459658736486,0.0853737954222805,0.0853737954222805
"Tfru25217_t",0.0025181536847759,0.00911668752763771,9.12735611107829,5.64357539027173,1,1.68346881006659,1.12871507805435,0.242558252353691,0.886156825700654,0.781105856012493,0.886156825700654
"Tfru29793_t",0.00251801599990936,0.00911668752763771,9.12745614352402,0.274808710763104,1,7.02788912651767,0.0549617421526203,0.000853934878696318,0.0541078072739245,0.0598665836383308,0.0598665836383308
"Tfru00125_t",0.00252046993194271,0.00912339768057046,9.12567411536657,0.393798114542181,1,8.21495135212585,0.0787596229084364,0.000251788006440895,0.0785078349019952,0.089076242402836,0.089076242402836
"Tfru12419_t",0.00252328909859566,0.00913025872379892,9.12362902869432,0.390771223985372,1,4.96791276537526,0.0781542447970745,0.00803672141067685,0.0701175233863976,0.0554703824379383,0.0701175233863976
"Tfru17646_t",0.00252329171243629,0.00913025872379892,9.12362713363203,0.334820384384603,1,5.52508747728011,0.0669640768769202,0.0039755473519756,0.0629885295249449,0.0489487645532922,0.0629885295249449
"Tfru05511_t",0.00252456628489916,0.00913069568463894,9.12270329230673,0.303674416394317,1,6.22783867968734,0.0607348832788631,0.0020203791719711,0.0587145041068922,0.0490719248100246,0.0587145041068922
"Tfru07611_t",0.00252435239271992,0.00913069568463894,9.12285829353446,0.243172363847006,1,5.93218145534299,0.0486344727694011,0.0028193176374219,0.0458151551319793,0.0479031414641197,0.0479031414641197
"Tfru15500_t",0.00252480201780383,0.00913069568463894,9.12253247920152,0.249791532554253,1,7.3745869616739,0.0499583065108504,0.000624326779367195,0.0493339797314834,0.0665709788620453,0.0665709788620453
"Tfru22060_t",0.00252708780108955,0.00913583823126523,9.1208770294725,3.23355518418345,1,2.32693761449264,0.646711036836691,0.116225403400806,0.530485633435885,0.374609479720696,0.530485633435885
